Gene Name,Balaton consensus calls,,Carrel hybrids,Carrel SNPs,Cotton AI,Cotton DNAm,,Transcript Start,Transcript Stop,Transcript Type,CTAG gene,Expression in GM12878,Expression in IMR90,Expressed in Either Tissue,Domain categories,Results from other literature,Lister mCH,Sex differences in expression,Y homology,alternate gene names,Related Diseases,Comments
RPL9,No call,,,,,,,23854760,23855459,mRNA,No,1.412148,0.8094016,Both,S,,,,,,,
CXorf58,S,,,,S,all F S or S+U,,23926122,23957624,mRNA,No,0.018594416,0.005722496,Neither,S,,,,,,,
KLHL15,S,,0,,S,,,24001832,24045303,mRNA,No,0.47014692,0.7399327,Both,S,S,S,,Y pseudogene,None,,
EIF2S3,E,,1,,E,all F E or E+U,,24073064,24096927,mRNA,No,11.121525,5.5426974,Both,E,VE,E,Female Bias,Y pseudogene,None,,
ZFX,E,,1,E,E,all F E,,24167761,24234372,mRNA,No,1.0648875,1.5484225,Both,E,E,E,Female Bias,Y homolog,None,,
FAM48B2,No call,,,,,,,24328978,24331432,mRNA,No,0,0,Neither,Boundary,,,,,,,
FAM48B1,No call,,,,,,,24380877,24383541,mRNA,No,0,0,Neither,Boundary,,,,,,,
PDK3,S,,0,,S,all F S,,24483343,24568583,mRNA,No,1.2516783,0.26647684,Both,S,,S,,Y pseudogene,Hs.403937,,
PCYT1B,S,,0,,S,all F S or S+U,,24576203,24690979,mRNA,No,0.003110028,0.007853307,Neither,S,,S,,,Hs.403937,,
POLA1,S,,0,,S,all F S or S+U,,24712057,25015102,mRNA,No,0.46590704,0.22987837,Both,S,,S,,Y pseudogene,"POLA, Z39260",NSX,
SCARNA23,No call,,,,,,,24762557,24762687,ncRNA,No,0,0,Neither,Boundary,,,,,,,
ARX,No call,,,,,too much U,,25021812,25034065,mRNA,yes,0.002240773,0.004203311,Neither,Boundary,,,,,,"EIEE1, LISX2, MRXARX, PRTS, Proud Levine Carpenter syndrome",
MAGEB18,No call,,,,,,,26156459,26158853,mRNA,yes,0,0,Neither,Boundary,,,,,,,
MAGEB6,No call,,,,,,,26210556,26213763,mRNA,yes,0.005706241,0,Neither,Boundary,,,,Y pseudogene,,,
VENTXP1,E,,,,E,,,26576453,26579169,ncRNA,yes,0,0,Neither,E,,,,,,,
BC024027,No call,,,,,,,27193032,27417114,ncRNA,No,0.001102832,0.001379151,Neither,Boundary,,,,,,,
SMEK3P,No call,,,,,,,27478327,27481458,ncRNA,No,0.005844707,0,Neither,Boundary,,,,,,,
AK057304,No call,,,,,,,27608529,27651912,mRNA,No,0.00105486,0.004748974,Neither,Boundary,,,,,,,
DCAF8L2,No call,,,,,,,27764925,27766938,mRNA,No,0.3317553,0.025574664,Lymphoblast only,Boundary,,,,,,,
MAGEB10,No call,,,,,,,27826106,27841131,mRNA,yes,0.000609132,0,Neither,Boundary,,,,Y pseudogene,,,
DCAF8L1,No call,,,,,,,27996109,27999566,mRNA,No,0.06881813,0,Neither,Boundary,,,,,,,
IL1RAPL1,Discordant,,,,VE,S or S+U and VE and U,,28605680,29974017,mRNA,No,0.016582027,0.018651754,Neither,Boundary,,,,,,mrx21,
U2,No call,,,,,,,29769566,29769659,snRNA,No,0,0,Neither,Boundary,,,,,,,
MAGEB2,No call,,,,,,,30233674,30238206,mRNA,yes,0,0.017044134,Neither,Boundary,,,,,,,
MAGEB3,No call,,,,,,,30248552,30255610,mRNA,yes,0.002593232,0,Neither,Boundary,,,,,,,
MAGEB4,No call,,,,,,,30260056,30262308,mRNA,yes,0.012187498,0.022861684,Neither,Boundary,,,,,,,
MAGEB1,No call,,,,,,,30261847,30270155,mRNA,yes,0.008812431,0.006198986,Neither,Boundary,,,,,,,
NR0B1,S,,,,,all F S or S+U,,30322538,30327495,mRNA,No,0.001846069,0.02597185,Neither,S,,,,Y pseudogene,,"AHC, SRXY2",
CXorf21,VE,,,,VE,,,30577566,30596033,mRNA,No,1.2013437,0,Lymphoblast only,S,,,Female Bias,,,,
GK,S,,0,,S,too much U,,30671475,30749577,mRNA,No,0.123634376,0.37986052,Both,S,,S,,,None,GKD,
TAB3,S,,0.22,,S,S or S+U and VE and U,,30845558,30993201,mRNA,No,0.35713843,0.44078708,Both,S,,,,Y pseudogene,"NAP1,MAP3K7IP3",,
Mir_548,No call,,,,,,,31039384,31039467,miRNA,No,0,0,Neither,S,,,,,,,
